CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13
2010-12,948.0,362.0,317.0,367.0,341.0,376.0,360.0,336.0,336.0,374.0,354.0,474.0,260.0
2011-01,421.0,101.0,119.0,102.0,138.0,126.0,110.0,108.0,131.0,146.0,155.0,63.0,
2011-02,380.0,94.0,73.0,106.0,102.0,94.0,97.0,107.0,98.0,119.0,35.0,,
2011-03,440.0,84.0,112.0,96.0,102.0,78.0,116.0,105.0,127.0,39.0,,,
2011-04,299.0,68.0,66.0,63.0,62.0,71.0,69.0,78.0,25.0,,,,
2011-05,279.0,66.0,48.0,48.0,60.0,68.0,74.0,29.0,,,,,
2011-06,235.0,49.0,44.0,64.0,58.0,79.0,24.0,,,,,,
2011-07,191.0,40.0,39.0,44.0,52.0,22.0,,,,,,,
2011-08,167.0,42.0,42.0,42.0,23.0,,,,,,,,
2011-09,298.0,89.0,97.0,36.0,,,,,,,,,
2011-10,352.0,93.0,46.0,,,,,,,,,,
2011-11,321.0,43.0,,,,,,,,,,,
2011-12,41.0,,,,,,,,,,,,
