CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13
2010-12,1.0,0.382,0.334,0.387,0.36,0.397,0.38,0.354,0.354,0.395,0.373,0.5,0.274
2011-01,1.0,0.24,0.283,0.242,0.328,0.299,0.261,0.257,0.311,0.347,0.368,0.15,
2011-02,1.0,0.247,0.192,0.279,0.268,0.247,0.255,0.282,0.258,0.313,0.092,,
2011-03,1.0,0.191,0.255,0.218,0.232,0.177,0.264,0.239,0.289,0.089,,,
2011-04,1.0,0.227,0.221,0.211,0.207,0.237,0.231,0.261,0.084,,,,
2011-05,1.0,0.237,0.172,0.172,0.215,0.244,0.265,0.104,,,,,
2011-06,1.0,0.209,0.187,0.272,0.247,0.336,0.102,,,,,,
2011-07,1.0,0.209,0.204,0.23,0.272,0.115,,,,,,,
2011-08,1.0,0.251,0.251,0.251,0.138,,,,,,,,
2011-09,1.0,0.299,0.326,0.121,,,,,,,,,
2011-10,1.0,0.264,0.131,,,,,,,,,,
2011-11,1.0,0.134,,,,,,,,,,,
2011-12,1.0,,,,,,,,,,,,
